source_row_key,population_group,geography_level,region_name,province_huc_code,province_huc_name,place_type,food_group_code,source_variable,food_name,rank,percent_consuming,mean_intake_g,sample_size,weighted_population,relative_to_national,survey_years
NATIONAL:PH::RICE_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,RICE_PRODUCTS,epwt_fg2,Rice and Products,1,95.687508,219.380409,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::FISH_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,FISH_PRODUCTS,epwt_fg15,Fish and Fish Products,2,62.047414,43.53871,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::OTHER_CEREAL_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,OTHER_CEREAL_PRODUCTS,epwt_fg4,Other Cereal Products,3,60.87147,44.426409,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::BEVERAGES,All surveyed individuals,NATIONAL,,,,NATIONAL,BEVERAGES,epwt_fg25,Beverages,4,51.315297,25.763638,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::OTHER_VEGETABLES,All surveyed individuals,NATIONAL,,,,NATIONAL,OTHER_VEGETABLES,epwt_fg10,Other Vegetables,5,44.226839,28.306461,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::MEAT_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,MEAT_PRODUCTS,epwt_fg16,Meat and Meat Products,6,39.898098,40.060023,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::SUGAR_SYRUPS,All surveyed individuals,NATIONAL,,,,NATIONAL,SUGAR_SYRUPS,epwt_fg6,Sugar and Syrups,7,39.313254,35.341852,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::FATS_OILS,All surveyed individuals,NATIONAL,,,,NATIONAL,FATS_OILS,epwt_fg23,Fats and Oils,8,64.992943,5.384616,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::GREEN_LEAFY_YELLOW_VEGETABLES,All surveyed individuals,NATIONAL,,,,NATIONAL,GREEN_LEAFY_YELLOW_VEGETABLES,epwt_fg9,Green Leafy and Yellow Vegetables,9,41.862607,14.521205,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::EGGS,All surveyed individuals,NATIONAL,,,,NATIONAL,EGGS,epwt_fg18,Eggs,10,30.774407,13.535578,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::POULTRY,All surveyed individuals,NATIONAL,,,,NATIONAL,POULTRY,epwt_fg17,Poultry,11,23.841463,20.163703,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::WHOLE_MILK,All surveyed individuals,NATIONAL,,,,NATIONAL,WHOLE_MILK,epwt_fg20,Whole Milk,12,19.076232,9.601421,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::DRIED_BEANS,All surveyed individuals,NATIONAL,,,,NATIONAL,DRIED_BEANS,epwt_fg7,Dried Beans,13,23.840111,5.310212,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::OTHER_FRUITS,All surveyed individuals,NATIONAL,,,,NATIONAL,OTHER_FRUITS,epwt_fg13,Other Fruits,14,12.459912,14.398074,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::CONDIMENTS_SPICES,All surveyed individuals,NATIONAL,,,,NATIONAL,CONDIMENTS_SPICES,epwt_fg26,Condiments and Spices,15,19.578798,1.748302,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::STARCHY_ROOTS_TUBERS,All surveyed individuals,NATIONAL,,,,NATIONAL,STARCHY_ROOTS_TUBERS,epwt_fg5,Starchy Roots and Tubers,16,10.231312,5.917241,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::CORN_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,CORN_PRODUCTS,epwt_fg3,Corn and Products,17,7.187248,7.843623,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::OTHER_MISCELLANEOUS,All surveyed individuals,NATIONAL,,,,NATIONAL,OTHER_MISCELLANEOUS,epwt_fg27,Other Miscellaneous,18,6.708356,2.040745,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::MILK_PRODUCTS,All surveyed individuals,NATIONAL,,,,NATIONAL,MILK_PRODUCTS,epwt_fg21,Milk Products,19,4.03756,2.359569,234293,1693792539.242,1,2018|2019|2021
NATIONAL:PH::VITAMIN_C_RICH_FRUITS,All surveyed individuals,NATIONAL,,,,NATIONAL,VITAMIN_C_RICH_FRUITS,epwt_fg12,Vitamin C-Rich Fruits,20,3.367364,2.555654,234293,1693792539.242,1,2018|2019|2021
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:RICE_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,RICE_PRODUCTS,epwt_fg2,Rice and Products,1,99.149419,236.698617,2817,284817.348,1.078941,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:FISH_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,FISH_PRODUCTS,epwt_fg15,Fish and Fish Products,2,75.753596,57.823218,2817,284817.348,1.328088,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:BEVERAGES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,BEVERAGES,epwt_fg25,Beverages,3,60.763817,15.813617,2817,284817.348,0.613796,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:OTHER_CEREAL_PRODUCTS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,OTHER_CEREAL_PRODUCTS,epwt_fg4,Other Cereal Products,4,46.975981,26.080651,2817,284817.348,0.587053,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:SUGAR_SYRUPS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,SUGAR_SYRUPS,epwt_fg6,Sugar and Syrups,5,51.868734,17.776613,2817,284817.348,0.50299,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:FATS_OILS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,FATS_OILS,epwt_fg23,Fats and Oils,6,59.445524,4.483862,2817,284817.348,0.832717,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:OTHER_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,OTHER_VEGETABLES,epwt_fg10,Other Vegetables,7,29.82355,20.404025,2817,284817.348,0.720826,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:GREEN_LEAFY_YELLOW_VEGETABLES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,GREEN_LEAFY_YELLOW_VEGETABLES,epwt_fg9,Green Leafy and Yellow Vegetables,8,28.485419,11.455148,2817,284817.348,0.788857,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:DRIED_BEANS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,DRIED_BEANS,epwt_fg7,Dried Beans,9,21.363926,2.584862,2817,284817.348,0.486772,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:OTHER_FRUITS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,OTHER_FRUITS,epwt_fg13,Other Fruits,10,9.853671,13.666643,2817,284817.348,0.949199,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:CONDIMENTS_SPICES,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,CONDIMENTS_SPICES,epwt_fg26,Condiments and Spices,11,23.882064,1.566117,2817,284817.348,0.895793,2019
PROVINCE_HUC:Bangsamoro Autonomous Region in Muslim Mindanao:Basilan:EGGS,All surveyed individuals,PROVINCE_HUC,Bangsamoro Autonomous Region in Muslim Mindanao,107,Basilan,PROVINCE_OR_HUC,EGGS,epwt_fg18,Eggs,12,12.331432,5.110829,2817,284817.348,0.377585,2019
